file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,89278dbd,avimehta30,2025-01-11,17:39:19,-08:00,2025-01-11T17:39:19-08:00,0,4
style.css,2,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,29
style.css,3,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,4,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,5,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,42
style.css,6,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,18
style.css,7,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,8,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,9,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,10,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,5
style.css,11,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,23
style.css,12,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,31
style.css,13,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,39
style.css,14,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,15,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,16,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,4
style.css,17,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,32
style.css,18,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,19,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,20,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,3
style.css,21,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,12
style.css,22,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,28
style.css,23,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,18
style.css,24,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,25,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,43
style.css,26,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,27,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,28,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,29,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,5
style.css,30,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,20
style.css,31,css,9e284739,avimehta30,2025-01-25,21:08:14,-08:00,2025-01-25T21:08:14-08:00,1,13
style.css,32,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,33,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,6
style.css,34,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,35,css,9e284739,avimehta30,2025-01-25,21:08:14,-08:00,2025-01-25T21:08:14-08:00,1,15
style.css,36,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,31
style.css,37,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,38,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,39,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,13
style.css,40,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,45
style.css,41,css,9e284739,avimehta30,2025-01-25,21:08:14,-08:00,2025-01-25T21:08:14-08:00,1,20
style.css,42,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,43,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,44,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,11
style.css,45,css,9e284739,avimehta30,2025-01-25,21:08:14,-08:00,2025-01-25T21:08:14-08:00,1,45
style.css,46,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,69
style.css,47,css,4464219a,avimehta30,2025-01-17,04:34:31,-08:00,2025-01-17T04:34:31-08:00,0,0
style.css,48,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,49,css,c77f42fc,avimehta30,2025-01-17,04:56:36,-08:00,2025-01-17T04:56:36-08:00,0,4
style.css,50,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,12
style.css,51,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,30
style.css,52,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,7
style.css,53,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,54,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,15
style.css,55,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,56,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,36
style.css,57,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,58,css,2d474641,Avi Mehta,2025-01-31,22:16:51,-08:00,2025-01-31T22:16:51-08:00,1,48
style.css,59,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,39
style.css,60,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,0,0
style.css,61,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,0,0
style.css,62,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,10
style.css,63,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,12
style.css,64,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,13
style.css,65,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,17
style.css,66,css,79baab11,avimehta30,2025-01-17,17:15:58,-08:00,2025-01-17T17:15:58-08:00,1,16
style.css,67,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,68,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,0
style.css,69,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,9
style.css,70,css,6d7c1135,avimehta30,2025-01-17,04:50:38,-08:00,2025-01-17T04:50:38-08:00,0,13
